arquivo, memoria, tempo, predito
Frase 1-1.wav, 565488, 0:08.46, 76
Frase 1-2.wav, 573248, 0:05.66, 77
Frase 1-2.wav, 573248, 0:05.66, 43
Frase 2-1.wav, 561828, 0:05.89, 43
Frase 4-1.wav, 573892, 0:04.82, 77
Frase 5-1.wav, 556884, 0:07.05, 76
Frase 5-2.wav, 563592, 0:05.16, 77
Frase 5-3 (ruído).wav, 566732, 0:05.32, 77
Frase aleatória (inglês) 1.wav, 556100, 0:05.12, 77
Frase aleatória (inglês) 2.wav, 567228, 0:05.58, 77
Frase aleatória (inglês) 3.wav, 561464, 0:06.14, 77
Frase aleatória (inglês) 5.wav, 566736, 0:04.82, 76
Frase aleatória (inglês) 6 (ruído).wav, 568392, 0:05.89, 77
Frase aleatória (português) 1.wav, 557380, 0:05.33, 76
Frase aleatória (português) 2.wav, 566628, 0:04.04, 77
Frase aleatória (português) 3 (ruído).wav, 576452, 0:05.16, 76
Frase aleatória (português) 4 (ruído).wav, 567316, 0:04.72, 77
Frase aleatória (português) 5 (ruído).wav, 579800, 0:05.28, 77
Frase aleatória (português) 5 (ruído).wav, 579800, 0:05.28, 77
Frase aleatória (português) 6 (ruído).wav, 556836, 0:04.52, 77
bruno.wav, 556336, 0:05.02, 76
bruno2.wav, 557356, 0:04.69, 46
bruno3.wav, 569496, 0:04.15, 76
bruno4.wav, 560812, 0:04.98, 76
bruno5.wav, 557528, 0:04.41, 76
bruno_fonevelho.wav, 566488, 0:05.04, 49
bruno_fonevelho.wav, 566488, 0:05.04, 49
bruno_fonevelho.wav, 566488, 0:05.04, 49
bruno_micruido.wav, 564064, 0:07.30, 97
bruno_micruido.wav, 564064, 0:07.30, 97
bruno_micruido.wav, 564064, 0:07.30, 97
bruno_micruido.wav, 564064, 0:07.30, 97
